Hour,system_load
0,556.485100746155
1,514.048537254334
2,486.2657995224
3,467.529684066773
4,460.36182641983
5,471.667906284332
6,487.751940727234
7,537.200209140778
8,594.223331928253
9,652.401056289673
10,703.227220535278
11,755.515379905701
12,796.754529953003
13,837.795841217041
14,869.167627334595
15,888.219502449036
16,901.097002983093
17,914.725405693054
18,895.123921394348
19,854.595962524414
20,809.727087020874
21,784.069370269775
22,722.705998420715
23,638.676426887512
